name,x,z,s
001, 0.00256186, -0.001487532, 1.33992184
002, 0.002333815, 6.75381E-05, 1.345258151
003, -0.004757975, -0.000830758, 1.348250735
004, 0.001548406, 0.005557806, 1.333889956
005, -0.002300275, 0.002615999, 1.344012112
006, -0.001655407, 0.006277063, 1.32887826
008, 0.002433613, 0.003212369, 1.333684353
010, 0.001269934, -0.000503465, 1.343561367
011, -0.001185732, -0.005158312, 1.339011044
012, -0.011214722, 0.00804174, 1.335839982
013, 4.5219E-05, -0.002999525, 1.33728714
014, 0.003321722, -0.008440194, 1.336119638
015, -0.002779901, 0.011127075, 1.321821074
016, 0.000217353, 0.003897364, 1.325220616
017, -0.004045871, 0.001695197, 1.33335184
018, -0.003258598, -0.000829736, 1.349249087
019, -0.00234702, -0.007268191, 1.33978346
020, -0.003665212, -0.002992627, 1.335993171
021, -0.001017903, -0.003083868, 1.337601687
022, 0.003706339, -0.003307889, 1.328103965
023, -0.001431402, -0.000813639, 1.329081623
024, 0.000505933, -0.006592226, 1.343750794
025, 0.00161078, 0.009239611, 1.32681411
026, -0.003336287, 0.001438444, 1.348724429
